"ID";"ENSEIGNE";"NUMERO ET LIBELLE DE VOIE";"COMPLEMENT";"CODE POSTAL";"COMMUNE"
1;"Tabac";"le bourg";;"01400";"ABERGEMENT-CLEMENCIAT"
2;"Centre Commercial Dame Louise-tabac-";"42 rue roger vaillant";;"01500";"AMBERIEU-EN-BUGEY"
3;"Tabac De La Gare";"6 avenue du general sarrail";;"01500";"AMBERIEU-EN-BUGEY"
4;"Tabac";"14 rue berard";;"01500";"AMBERIEU-EN-BUGEY"
5;"Tabac";"12 avenue paul painleve";;"01500";"AMBERIEU-EN-BUGEY"
6;"La Roseraie";"18 rue de la ruelle";;"01330";"AMBERIEUX-EN-DOMBES"
7;"Tabac";"grande rue";;"01500";"AMBRONAY"
8;"Tabac";"19 rue de la mairie";;"01350";"ANGLEFORT"
9;"L'equateur";"69 rue general andrea";;"01100";"ARBENT"
10;"Patisserie Du Lavoir";"2 rue du stade ";;"01100";"ARBENT"
11;"Vival";"97 rue centrale";;"01200";"BELLEGARDE-SUR-VALSERINE"
12;"Tabac";"rue jean marie vianney";;"01480";"ARS-SUR-FORMANS"
13;"Tabac";"grande rue";;"01510";"ARTEMARE"
14;"Tabac Presse Chardard";"500 grande rue";;"01340";"ATTIGNAT"
15;"Vival";"54 rue marsale";;"01380";"BAGE-LE-CHATEL"
16;"Le Patio";"60 place puthod";;"01380";"BAGE-LE-CHATEL"
17;"Tabac";"238 rue edgar berlioz";;"01480";"BEAUREGARD"
18;"Le Tobago";"13 place de l hotel de ville";;"01810";"BELLIGNAT"
19;"Tabac";"2 route de lyon";;"01360";"BELIGNEUX"
20;"Tabac";"gare sncf vestibule";;"01200";"BELLEGARDE-SUR-VALSERINE"
21;"Le Nicotiane";"6 rue joseph bertola";;"01200";"BELLEGARDE-SUR-VALSERINE"
22;"Tabac Presse Du Credo";"4 rue joliot curie ";;"01200";"BELLEGARDE-SUR-VALSERINE"
23;"Tabac";"84 rue de la republique";;"01200";"BELLEGARDE-SUR-VALSERINE"
24;"Le Calumet";"2 place des terreaux";;"01300";"BELLEY"
25;"Côte Presse";"16 rue de la republique";;"01300";"BELLEY"
26;"Tabac";"3 place de la victoire";;"01300";"BELLEY"
27;"Maison De La Presse";"73 grande rue";;"01300";"BELLEY"
28;"Tabac";"614 grande rue - le village";;"01370";"BENY"
29;"Le Domjohn Bar";"656 rue centrale";;"01700";"BEYNOST"
30;"Tabac";"place de l'eglise";;"01200";"BILLIAT"
31;"Le Seven";"1372 route nationale";;"01120";"BOISSE"
32;"Tabac";"8 rue notre dame";;"01000";"BOURG-EN-BRESSE"
33;"Tabac";"1 place g clemenceau";;"01000";"BOURG-EN-BRESSE"
34;"Tabac";"17 faubourg de lyon";;"01000";"BOURG-EN-BRESSE"
35;"Tabac Mag Presse";"5 place edgard quinet";;"01000";"BOURG-EN-BRESSE"
36;"Tabac";"12 avenue alsace lorraine";;"01000";"BOURG-EN-BRESSE"
37;"Centre Commercial Carrefour";"8 chemin des prés de brou";;"01000";"BOURG-EN-BRESSE"
38;"Tabac";"35 rue du marechal foch";;"01000";"BOURG-EN-BRESSE"
39;"Tabac";"12 cours de verdun";;"01000";"BOURG-EN-BRESSE"
40;"Tabac";"27 rue charles robin";;"01000";"BOURG-EN-BRESSE"
41;"Tabac";"48 rue gabriel vicaire";;"01000";"BOURG-EN-BRESSE"
42;"Tabac";"96 bd de brou";;"01000";"BOURG-EN-BRESSE"
43;"--";"12 avenue pierre sémard";"Gare Sncf Vestibule Tabac";"01000";"BOURG-EN-BRESSE"
44;"Tabac";"55 avenue jean jaures";;"01000";"BOURG-EN-BRESSE"
45;"Tabac";"44 avenue du mail";;"01000";"BOURG-EN-BRESSE"
46;"Tabac";"35 rue montesquieu";;"01000";"BOURG-EN-BRESSE"
47;"Tabac";"hameau de glandieu";;"01300";"BREGNIER-CORDON"
48;"Tabac";"45 grande rue";;"01110";"BRENOD"
49;"L' Essentiel";"125 grande rue";;"01360";"BRESSOLLES"
50;"Chez Nadine";"607 route des ecoles";;"01470";"BRIORD"
51;"Epicerie De Cerdon";"place de la vigneronne";;"01450";"CERDON"
52;"Le Certinois";"419 route de la mairie";;"01240";"CERTINES"
53;"Tabac";"18 rue jerome lalande";;"01250";"CEYZERIAT"
54;"Tabac";"place de l'eglise";;"01350";"CEYZERIEU"
55;"Le Relais De La Dombes";"place du marche";;"01320";"CHALAMONT"
56;"Tabac";"place brillat savarin";;"01260";"CHAMPAGNE-EN-VALROMEY"
57;"Tabac";"28 route de seyssel";;"01420";"CHANAY"
58;"Tabac";"le bourg";;"01990";"CHANEINS"
59;"Restaurant De La Veyle";"le village";;"01320";"CHATENAY"
